Cambios Morfológicos Detectados
==================================================

parts                → part
restrictions         → restriction
terms                → term
included             → include
located              → locate
laws                 → law
located              → locate
updated              → update
formats              → format
credits              → credit
corrections          → correction
contents             → content
accompanied          → accompany
regarded             → regard
forebodings          → foreboding
arrived              → arrive
increasing           → increase
streets              → street
cheeks               → cheek
braces               → brace
nerves               → nerve
fills                → fill
travelled            → travel
regions              → region
advancing            → advance
gives                → give
climes               → clime
inspirited           → inspirit
daydreams            → daydream
persuaded            → persuade
presents             → present
skirting             → skirt
diffusing            → diffuse
preceding            → precede
navigators           → navigator
banished             → banish
sailing              → sail
wafted               → waft
surpassing           → surpass
wonders              → wonder
discovered           → discover
productions          → production
features             → feature
bodies               → body
solitudes            → solitude
expected             → expect
attracts             → attract
observations         → observation
eccentricities       → eccentricity
visited              → visit
imprinted            → imprint
enticements          → enticement
feels                → feel
embarks              → embark
mates                → mate
supposing            → suppose
conjectures          → conjecture
discovering          → discover
countries            → country
months               → month
ascertaining         → ascertain
effected             → effect
reflections          → reflection
dispelled            → dispel
began                → begin
elevates             → elevate
contributes          → contribute
years                → year
accounts             → account
voyages              → voyage
arriving             → arrive
seas                 → sea
voyages              → voyage
purposes             → purpose
composed             → compose
neglected            → neglect
volumes              → volume
increased            → increase
felt                 → feel
learning             → learn
dying                → die
forbidden            → forbid
visions              → vision
faded                → fade
perused              → peruse
poets                → poet
effusions            → effusion
entranced            → entrance
lifted               → lift
lived                → live
imagined             → imagine
names                → name
consecrated          → consecrate
acquainted           → acquaint
bore                 → bear
inherited            → inherit
thoughts             → thought
turned               → turn
earlier              → early
years                → year
passed               → pass
resolved             → resolve
dedicated            → dedicate
commenced            → commence
inuring              → inure
accompanied          → accompany
fishers              → fisher
expeditions          → expedition
endured              → endure
worked               → work
harder               → hard
sailors              → sailor
devoted              → devote
nights               → night
mathematics          → mathematic
branches             → branch
greatest             → great
hired                → hire
acquitted            → acquit
felt                 → feel
offered              → offer
entreated            → entreat
greatest             → great
services             → service
passed               → pass
preferred            → prefer
placed               → place
hopes                → hope
spirits              → spirit
emergencies          → emergency
required             → require
spirits              → spirit
failing              → fail
travelling           → travel
sledges              → sledge
wrapped              → wrap
furs                 → fur
adopted              → adopt
walking              → walk
remaining            → remain
seated               → seat
hours                → hour
prevents             → prevent
freezing             → freeze
veins                → vein
weeks                → week
paying               → pay
sailors              → sailor
months               → month
years                → year
blessings            → blessing
passes               → pass
encompassed          → encompass
taken                → take
hired                → hire
occupied             → occupy
collecting           → collect
sailors              → sailor
engaged              → engage
men                  → man
possessed            → possess
glowing              → glow
assailed             → assail
thoughts             → thought
eyes                 → eye
possessed            → possess
cultivated           → cultivate
tastes               → taste
plans                → plan
faults               → fault
difficulties         → difficulty
greater              → great
educated             → educate
years                → year
ran                  → run
books                → book
voyages              → voyage
acquainted           → acquaint
celebrated           → celebrate
poets                → poet
ceased               → cease
benefits             → benefit
perceived            → perceive
acquainted           → acquaint
languages            → language
schoolboys           → schoolboy
thought              → think
daydreams            → daydream
painters             → painter
keeping              → keep
complaints           → complaint
merchants            → merchant
seamen               → seaman
feelings             → feeling
bosoms               → bosom
prejudices           → prejudice
unsoftened           → unsoftene
retains              → retain
noblest              → noble
endowments           → endowment
acquainted           → acquaint
finding              → find
engaged              → engage
added                → add
known                → know
passed               → pass
best                 → good
years                → year
spent                → spend
refined              → refine
exercised            → exercise
believed             → believe
heard                → hear
noted                → note
paid                 → pay
felt                 → feel
services             → service
heard                → hear
owes                 → owe
years                → year
loved                → love
amassed              → amass
consented            → consent
saw                  → see
destined             → destine
bathed               → bathe
tears                → tear
throwing             → throw
feet                 → foot
entreated            → entreat
confessing           → confess
loved                → love
reassured            → reassure
informed             → inform
abandoned            → abandon
bought               → buy
designed             → design
bestowed             → bestow
remains              → remain
solicited            → solicit
refused              → refuse
thinking             → think
bound                → bind
found                → find
quitted              → quit
returned             → return
heard                → hear
married              → marry
according            → accord
inclinations         → inclination
attends              → attend
renders              → render
detracts             → detract
toils                → toil
wavering             → waver
resolutions          → resolution
fixed                → fix
delayed              → delay
promises             → promise
considered           → consider
sooner               → soon
expected             → expect
committed            → commit
sensations           → sensation
preparing            → prepare
going                → go
regions              → region
alarmed              → alarm
attributed           → attribute
mysteries            → mystery
poets                → poet
intertwined          → intertwine
projects             → project
hurries              → hurry
pathways             → pathway
men                  → man
regions              → region
considerations       → consideration
traversed            → traverse
seas                 → sea
returned             → return
letters              → letter
occasions            → occasion
spirits              → spirit
lines                → line
advanced             → advance
years                → year
spirits              → spirit
men                  → man
floating             → float
sheets               → sheet
indicating           → indicate
dangers              → danger
advancing            → advance
reached              → reach
gales                → gale
shores               → shore
renovating           → renovate
expected             → expect
incidents            → incident
befallen             → befall
gales                → gale
accidents            → accident
experienced          → experience
navigators           → navigator
worse                → bad
assured              → assure
endeavours           → endeavour
gone                 → go
tracing              → trace
seas                 → sea
stars                → star
witnesses            → witness
testimonies          → testimony
resolved             → resolve
swelling             → swell
pours                → pour
happened             → happen
recording            → record
papers               → paper
surrounded           → surround
closed               → close
sides                → side
leaving              → leave
floated              → float
compassed            → compass
hoping               → hope
cleared              → clear
beheld               → behold
stretched            → stretch
plains               → plain
comrades             → comrade
groaned              → groan
began                → begin
thoughts             → thought
attracted            → attract
diverted             → divert
perceived            → perceive
fixed                → fix
drawn                → draw
dogs                 → dog
sat                  → sit
guided               → guide
dogs                 → dog
watched              → watch
telescopes           → telescope
lost                 → lose
inequalities         → inequality
excited              → excite
believed             → believe
miles                → mile
supposed             → suppose
observed             → observe
greatest             → great
hours                → hour
heard                → hear
broke                → break
freed                → free
lay                  → lie
fearing              → fear
masses               → masse
profited             → profit
hours                → hour
went                 → go
found                → find
sailors              → sailor
talking              → talk
seen                 → see
drifted              → drift
remained             → remain
sailors              → sailor
persuading           → persuade
appeared             → appear
said                 → say
perceiving           → perceive
addressed            → address
said                 → say
bound                → bind
hearing              → hear
addressed            → address
supposed             → suppose
exchanged            → exchange
replied              → reply
hearing              → hear
appeared             → appear
seen                 → see
capitulated          → capitulate
limbs                → limb
emaciated            → emaciate
saw                  → see
attempted            → attempt
quitted              → quit
fainted              → faint
brought              → bring
restored             → restore
rubbing              → rub
forcing              → force
showed               → show
signs                → sign
wrapped              → wrap
blankets             → blanket
placed               → place
degrees              → degree
recovered            → recover
ate                  → eat
restored             → restore
days                 → day
passed               → pass
feared               → fear
sufferings           → suffering
deprived             → deprive
recovered            → recover
removed              → remove
attended             → attend
saw                  → see
eyes                 → eye
moments              → moment
performs             → perform
