palabra,frecuencia_bow,frecuencia_tfidf
affection,48,28.789535187501407
appear,90,50.411608202710255
away,53,28.424895769569456
believe,52,30.05815995251779
cause,52,30.421751209135017
chapter,48,18.109077711825464
child,54,32.17713134010605
clerval,59,34.853963556873964
come,82,53.64266291532469
cottage,56,35.29708216273254
countenance,48,28.487720194385474
country,62,37.97128852155897
creature,69,39.91624106219612
day,133,71.0655325944482
dear,81,50.067531729926024
death,82,44.76048709094733
desire,60,34.92960184520074
despair,50,29.517387012180848
destroy,49,28.712906949225903
die,55,32.9139734455048
discover,55,32.89243943402415
elizabeth,92,50.69379505538264
endeavour,55,32.86697005890696
enter,66,41.610172023870376
eye,122,63.445199154727504
father,134,69.79928377532819
fear,66,37.595177419113746
feel,132,72.77992376408383
feeling,101,57.71485068065668
felix,50,30.038793591664653
find,121,67.2272803301014
form,62,38.25257042697875
friend,125,67.93819148878177
give,60,35.24916968918851
good,49,30.941460248088855
great,102,55.665666126146654
gutenberg,98,37.87911369978835
hand,65,34.63888830866228
happiness,49,28.240421312437515
happy,50,29.134295553481127
hear,88,50.05535550467725
heart,85,47.179822088116836
hope,85,47.31263684041777
horror,51,31.555447467191605
hour,59,34.359883382873896
human,58,33.973118279453
ice,45,28.83935333112157
idea,47,29.824172586855276
joy,47,26.449889774192762
justine,55,33.36931008369296
know,104,61.80318659040012
leave,73,41.793450312715095
letter,49,26.140954297077403
life,124,68.80455369745387
light,51,28.594405630960626
like,63,38.203328969907965
little,58,35.63711543584215
live,57,35.368327841901205
long,83,45.96954788249608
look,68,41.849348082961015
love,88,49.48864908026633
man,181,94.93517466932344
manner,50,30.259633457127403
mind,90,52.62368466523105
miserable,65,42.021259336462506
misery,63,36.68718418205333
moment,54,33.17644688958566
month,48,29.97689792600809
mountain,56,34.63253524157267
nature,55,34.73432607716594
night,98,54.19352466259435
old,55,30.103046793897594
pass,93,50.133157940993726
place,104,57.515105417003966
poor,45,27.694895531198128
power,54,31.564089742699824
present,47,26.83978413934518
project,91,33.550384613170756
remain,74,43.18053248609984
return,96,53.89484755524525
say,107,59.862187884524374
scene,60,37.613480935373346
see,121,63.222483054928695
seek,46,27.445451837441787
shall,107,62.451442873248425
soon,75,43.52047590007578
speak,46,27.68674688685628
spirit,65,39.45774875641763
sun,45,26.32205750697486
take,80,46.42713840764859
tear,51,29.057606735475318
think,87,51.325028550381816
thought,56,34.35574573979935
time,109,64.10205967092575
voice,50,29.483217979621337
wish,53,28.070999647076643
word,67,42.330322930102696
work,126,56.88046262216481
world,47,27.786862239139687
year,53,32.10183888253395
