palabra,frecuencia
man,-0.2383699
father,-0.73498356
day,-1.123458
feel,-1.1430254
work,0.15300387
friend,-1.5496118
life,-0.9396016
eye,-1.1420327
find,-0.9462679
see,-0.9517789
time,-1.4673188
shall,-0.7718867
say,-1.0247777
place,-0.78148675
know,-1.0586457
great,-0.677682
feeling,-1.1481342
night,-1.2478312
return,-1.2377906
pass,-1.9763038
elizabeth,-1.2805523
project,0.97291744
mind,-0.5571605
appear,-0.7892139
love,-0.87858987
gutenberg,0.38609523
think,-0.67299193
hear,-0.8767792
heart,-1.1083498
hope,-1.6578611
long,-1.8041888
death,-0.6732848
dear,-1.4577075
take,-0.83674634
come,-0.89969516
soon,-1.2341288
leave,-1.1338915
remain,-1.1749524
creature,-1.3748164
look,-0.65813565
word,-0.89452064
fear,-1.1178972
enter,-0.51035297
hand,-0.558105
miserable,-1.1155579
spirit,-0.95119524
like,-0.979182
misery,-0.9688388
form,-1.0560052
country,-1.0693716
give,-0.89993143
scene,-0.8293071
desire,-0.44276196
clerval,-0.90721655
hour,-1.123317
human,-0.63412
little,-0.7305796
live,-1.2128423
cottage,-0.8814603
mountain,-0.41242737
thought,-0.88074553
old,-1.4325423
justine,-0.6744239
endeavour,-0.9270397
nature,-0.48655266
discover,-0.78812486
child,-1.2873719
moment,-0.6958858
power,-0.7221575
wish,-0.82163346
die,-1.3205196
year,-0.6519418
away,-0.6778997
believe,-1.024407
cause,-0.32419044
horror,-0.95237327
light,-1.1316965
happy,-1.4773433
manner,-0.72038984
tear,-1.1482892
voice,-1.2791398
destroy,-0.47976857
good,-1.059984
happiness,-1.1713755
letter,-1.3148024
felix,-1.0423839
chapter,-1.3297517
month,-1.0109587
despair,-0.80691415
affection,-1.124773
present,-0.59052485
idea,-0.8213799
countenance,-1.0150512
joy,-1.5222149
world,-0.74869835
speak,-1.2453399
seek,-0.8095832
sun,-0.92517567
ice,-0.5011371
sensation,-0.74561024
